V1	V2
GB55710	GO:0002121;GO:0003755;GO:0005509;GO:0005528;GO:0005615;GO:0005737;GO:0005783;GO:0006457;GO:0007444;GO:0008587;GO:0008593;GO:0012505;GO:0022416;GO:0046716;GO:0061077;GO:0000412;GO:0000792;GO:0003755;GO:0005515;GO:0005528;GO:0005730;GO:0005789;GO:0005875;GO:0010507;GO:0016242;GO:0035626;GO:0061077;GO:0070594;GO:0003755;GO:0005528;GO:0005737;GO:0005789;GO:0005886;GO:0006974;GO:0061077;GO:0003755;GO:0005528;GO:0005737;GO:0005789;GO:0012505;GO:0061077;GO:0061077
GB48796	GO:0001664;GO:0005179;GO:0005184;GO:0005576;GO:0005615;GO:0007186;GO:0007218;GO:0007589;GO:0008613;GO:0009755;GO:0045475;GO:0045475
GB52754	GO:0000154;GO:0000179;GO:0003723;GO:0005730;GO:0005759;GO:0022008;GO:0030431;GO:0052909;GO:0052909
GB52499	GO:0005737;GO:0007274;GO:0008582;GO:0022008;GO:0046785;GO:0046785
GB52493	GO:0003674;GO:0005813;GO:0036064;GO:0044782;GO:0044782
GB53649	GO:0000278;GO:0000902;GO:0003677;GO:0003779;GO:0004721;GO:0004725;GO:0005737;GO:0005856;GO:0006470;GO:0007097;GO:0007409;GO:0008064;GO:0008138;GO:0010591;GO:0016319;GO:0017017;GO:0030833;GO:0030837;GO:0040023;GO:0045177;GO:0048749;GO:0050770;GO:0004725;GO:0005575;GO:0006470;GO:0008138;GO:0002385;GO:0004725;GO:0005737;GO:0006470;GO:0007428;GO:0007474;GO:0008138;GO:0016337;GO:0016791;GO:0017017;GO:0035160;GO:0042127;GO:0043409;GO:0004725;GO:0005575;GO:0006470;GO:0008138;GO:0035335;GO:0004721;GO:0004725;GO:0005575;GO:0006470;GO:0016301;GO:0017017;GO:0001736;GO:0004721;GO:0004725;GO:0005783;GO:0005794;GO:0006470;GO:0006979;GO:0007015;GO:0007254;GO:0007298;GO:0007391;GO:0007396;GO:0007422;GO:0007561;GO:0008138;GO:0008340;GO:0008360;GO:0008362;GO:0008544;GO:0008579;GO:0009306;GO:0010389;GO:0016318;GO:0017017;GO:0030036;GO:0030707;GO:0034599;GO:0042060;GO:0043066;GO:0046329;GO:0046528;GO:0046529;GO:0046843;GO:0046844;GO:0048615;GO:0048749;GO:0050778;GO:0070303;GO:0071907;GO:1903688;GO:1903688
GB52497	GO:0005739;GO:0005742;GO:0006626;GO:0015266;GO:0015450;GO:0016031;GO:0030150;GO:0030943;GO:0031307;GO:0070096;GO:0005742;GO:0006626;GO:0015266;GO:0015450;GO:0016031;GO:0030150;GO:0030943;GO:0031307;GO:0070096;GO:0070096
GB48790	GO:0008028;GO:0009636;GO:0016021;GO:0055085;GO:0097254;GO:0097254
GB44623	GO:0003674;GO:0005575;GO:0008150;GO:0008150
GB44621	GO:0000278;GO:0004721;GO:0004722;GO:0005634;GO:0005737;GO:0005829;GO:0006470;GO:0006470
GB55569	GO:0004842;GO:0005829;GO:0006915;GO:0007390;GO:0007391;GO:0008258;GO:0008270;GO:0008340;GO:0019901;GO:0022407;GO:0030159;GO:0032494;GO:0042787;GO:0045087;GO:0046328;GO:0060548;GO:0061630;GO:0061630
GB55568	GO:0000062;GO:0003995;GO:0005739;GO:0005811;GO:0005875;GO:0009055;GO:0017099;GO:0033539;GO:0042760;GO:0050660;GO:0052890;GO:0055088;GO:0055114;GO:0000062;GO:0003995;GO:0005739;GO:0005759;GO:0005811;GO:0005875;GO:0006635;GO:0009055;GO:0033539;GO:0050660;GO:0052890;GO:0055088;GO:0070991;GO:0000062;GO:0005739;GO:0005759;GO:0006552;GO:0008470;GO:0009055;GO:0033539;GO:0050660;GO:0052890;GO:0055088;GO:0055114;GO:0000062;GO:0003995;GO:0005739;GO:0005829;GO:0009055;GO:0033539;GO:0050660;GO:0052890;GO:0055088;GO:0055114;GO:0000062;GO:0003995;GO:0004085;GO:0005739;GO:0006635;GO:0009055;GO:0033539;GO:0046359;GO:0050660;GO:0055088;GO:0000062;GO:0001104;GO:0003995;GO:0004085;GO:0005739;GO:0006367;GO:0009055;GO:0016592;GO:0033539;GO:0046359;GO:0048813;GO:0050660;GO:0055088;GO:0055114;GO:0000062;GO:0001745;GO:0003995;GO:0005615;GO:0005739;GO:0006635;GO:0009055;GO:0016627;GO:0032504;GO:0033539;GO:0034976;GO:0050660;GO:0052890;GO:0055088;GO:1900408;GO:1900408
GB55567	GO:0007274;GO:0010906;GO:0048788;GO:0048789;GO:0048789
GB55563	GO:0005739;GO:0008168;GO:0032981;GO:0046034;GO:0046034
GB55561	GO:0005737;GO:0006878;GO:0006979;GO:0015680;GO:0016531;GO:0055070;GO:0055070
GB54109	GO:0002161;GO:0004823;GO:0005524;GO:0005739;GO:0005759;GO:0006429;GO:0032543;GO:0032543
GB51675	GO:0005829;GO:0006545;GO:0006567;GO:0008732;GO:0008732
GB51673	GO:0003341;GO:0005524;GO:0005875;GO:0005930;GO:0007018;GO:0007605;GO:0008569;GO:0030286;GO:0031514;GO:0036157;GO:0042623;GO:0045503;GO:0045505;GO:0051959;GO:0003341;GO:0005524;GO:0005875;GO:0005930;GO:0007018;GO:0008569;GO:0030286;GO:0031514;GO:0036157;GO:0042623;GO:0045503;GO:0045505;GO:0051959;GO:0003777;GO:0005524;GO:0005858;GO:0007018;GO:0016887;GO:0042623;GO:0042623
GB53811	GO:0016021;GO:0019233;GO:0019233
GB53812	GO:0004252;GO:0005737;GO:0006508;GO:0052689;GO:0070008;GO:0004177;GO:0004252;GO:0005737;GO:0006508;GO:0070008;GO:0070008
GB43052	GO:0003774;GO:0007498;GO:0016459;GO:0030016;GO:0030239;GO:0032982;GO:0032982
GB43053	GO:0003774;GO:0007498;GO:0016459;GO:0030016;GO:0030239;GO:0032982;GO:0032982
GB43054	GO:0003012;GO:0003779;GO:0005634;GO:0005737;GO:0007476;GO:0010623;GO:0019233;GO:0030335;GO:0035070;GO:0044319;GO:0046716;GO:0048471;GO:0051496;GO:0060439;GO:1900026;GO:1900026
GB48707	GO:0002230;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0006963;GO:0007252;GO:0008063;GO:0008384;GO:0008385;GO:0009653;GO:0018105;GO:0019731;GO:0030163;GO:0033209;GO:0045087;GO:0045088;GO:0045944;GO:0050829;GO:0051092;GO:0051607;GO:0061057;GO:0071456;GO:1901223;GO:1901223
GB48709	GO:0010629;GO:0042826;GO:0046872;GO:0046872
GB47829	GO:0000022;GO:0000132;GO:0000278;GO:0000776;GO:0000922;GO:0005515;GO:0005737;GO:0005813;GO:0005875;GO:0007017;GO:0007029;GO:0007051;GO:0007067;GO:0007143;GO:0007344;GO:0007411;GO:0008017;GO:0015631;GO:0016325;GO:0030951;GO:0031122;GO:0035371;GO:0045196;GO:0045450;GO:0046785;GO:0048477;GO:0051010;GO:0051298;GO:0090063;GO:0003824;GO:0004802;GO:0008152;GO:0003824;GO:0004802;GO:0005811;GO:0005829;GO:0005875;GO:0008152;GO:0031122;GO:0031935;GO:0031935
GB47828	GO:0000122;GO:0003677;GO:0003697;GO:0005515;GO:0005634;GO:0005700;GO:0006268;GO:0006338;GO:0007379;GO:0008134;GO:0008301;GO:0008348;GO:0017025;GO:0017055;GO:0032502;GO:0035218;GO:0043388;GO:0045892;GO:0045892
GB55303	GO:0009235;GO:0003674;GO:0005575;GO:0008150;GO:0009235;GO:0009235
GB55302	GO:0005351;GO:0005355;GO:0005887;GO:0016021;GO:0035428;GO:0046323;GO:0005351;GO:0005355;GO:0005886;GO:0005887;GO:0015574;GO:0015771;GO:0016020;GO:0016021;GO:0035428;GO:0046323;GO:0005351;GO:0005355;GO:0005887;GO:0016021;GO:0035428;GO:0046323;GO:0003674;GO:0005575;GO:0008150;GO:0016021;GO:0005351;GO:0005355;GO:0005886;GO:0016021;GO:0022891;GO:0035428;GO:0046323;GO:0046427;GO:0005351;GO:0005355;GO:0005887;GO:0016021;GO:0035428;GO:0046323;GO:0005351;GO:0005355;GO:0005887;GO:0016021;GO:0035428;GO:0046323;GO:0005351;GO:0005355;GO:0005886;GO:0005887;GO:0015574;GO:0015767;GO:0015768;GO:0015770;GO:0015771;GO:0016020;GO:0016021;GO:0035428;GO:0046323;GO:0046323
GB47827	GO:0000176;GO:0000177;GO:0000178;GO:0000467;GO:0016787;GO:0017091;GO:0034427;GO:0034473;GO:0034475;GO:0034476;GO:0043928;GO:0071028;GO:0071035;GO:0071038;GO:0071042;GO:0071042
GB47826	GO:0000049;GO:0002098;GO:0003676;GO:0005634;GO:0005737;GO:0008198;GO:0016300;GO:0016491;GO:0016706;GO:0030488;GO:0055114;GO:0055114
